Project Id;Project Name;Promotor;Description
75;Modular Offshore Grid (MOG);ELIA;The Modular Offshore Grid aims at centralizing the offshore wind of four offshore future wind farms in Belgium in an offshore hub and transporting it via three 220 kV AC cables to the new substation Stevin at Zeebrugge. Via the substation Stevin the MOG makes the connection to the STEVIN link (new 400kV axis between Zeebrugge & Zomergem).  The MOG is expected to be fully operational by 2020.
77;Anglo-Scottish -1;"NGET; SPT";A new 2.4GW (short term rating) submarine HVDC cable route from Hunterston to Deeside with associated AC network reinforcement works at both ends.
78;South West Cluster;NGET;New 400kV substation at Hinkley Point. New 400kV transmission route from Hinkley Point to Seabank. Reconstruction of Bridgewater substation for 400kV operation. Uprate Bridgewater - Melksham to 400kV.
81;North South Interconnector;EIRGRID, SONI;A new 400 kV interconnector between Woodland in Ireland and Turleenan in Northern Ireland.
82;RIDP I;EIRGRID, SONI;The infrastructure development is required to facilitate connection of renewable generation in the North and West of the Island.  It will further integrate the Ireland and Northern Ireland transmission systems and provide capacity for substantial demand growth.
85;Integration of RES in Alentejo;REN;The main objective of this project consists in introducing the network reinforcements that are needed to allow the connection of new RES generation (mostly solar but also some wind) that is foreseen for the south region of Portugal, where the solar potential is considerably high. The project includes two new 400 kV OHL that will constitute a new axis between F. Alentejo-Ourique-Tavira substations. It is also included the expansion of the Ourique substation to include the 400 kV voltage level.
85;Integration of RES in Alentejo;REN;The main objective of this project consists in introducing the network reinforcements that are needed to allow the connection of new RES generation (mostly solar but also some wind) that is foreseen for the south region of Portugal, where the solar potential is considerably high. The project includes two new 400 kV OHL that will constitute a new axis between F. Alentejo-Ourique-Tavira substations. It is also included the expansion of the Ourique substation to include the 400 kV voltage level.
92;ALEGrO;"AMPRION;ELIA";This project realizes the first interconnection between Belgium (Lixhe) and Germany (Oberzier) as a 100 km HVDC link with a bidirectional rated power of 1.000 MW capacity
94;GerPol Improvements;50Hertz Transmission, PSE;Upgrade of the existing 220 kV double interconnection line between Krajnik and Vierraden to 400 kV double line in the same direction together with installation of Phase Shifting Transformers on two existing interconnection lines (Krajnik-Vierraden by 50Hertz)
96;Keminmaa-Pyhänselkä;FINGRID;"The project is 400 kV overhead line in North Finland. It is part of the 3rd AC cross border project between Finland and Sweden.
Will also allow integration of new RES generation at Bothnian bay."
103;Reinforcements Ring NL phase I;TENNET-NL;Upgrade of existing 380kV circuits in the Dutch main ring from 2,5 kA to 4 kA.
107;Celtic Interconnector;EIRGRID,RTE;Celtic Interconnector will be the first interconnection between Ireland and France. A survey of the route of the HVDC (VSC) link with 700 MW capacity has been done from the southern coast of Ireland to La Martyre (Finistère) in France.
110;Norway-Great Britain NSN;"NGIHL;STATNETT";North Sea Link, 1400 MW and 720 km long interconnector between Norway and England.
111;3rd AC Finland-Sweden north;"FINGRID;SVK";Third AC 400 kV overhead line interconnector between Finland north and Sweden SE1. Strengthening the AC connection between Finland and Sweden is necessary due to market needs, security of supply in Finland, new wind power generation and larger conventional units.
113;Doetinchem - Niederrhein;"AMPRION;TENNET-NL";This new AC 380-kV double circuit overhead line will interconnect The Netherlands and Germany (Rhine-Ruhr area). Upon realisation of the project there will be four double circuit interconnections between The Netherlands and Germany. The project will increase the cross border capacity and will facilitate the further integration of the European Energy market especially in Central West Europe. The new line will also increase the security of supply.
120;MOG II: connection of up to 2 GW additional offshore wind Belgium;ELIA;"As per the concept of MOG (project 75), the MOG II aims at centralizing the offshore wind farms in an offshore hub and transporting it via 220 kV AC cables to a substation along a new corridor Stevin-Avelgem (see project 329).  Current hypothesis is to apply this concept in two-fold thus two platforms and cable sets centralizing ~1000 MW each

Structure, capacity, timing etc. are all subject to the identification of new offshore concession zones in the Belgian part of the North Sea and subsequent proces to translate this into an implementation plan with all involved stakeholders."
121;Nautilus: 2nd interconnector Belgium - UK;"ELIA;NGIHL";"This project considers the possibility of a ~1 - 1.4 GW second HVDC connection between UK and Belgium at the earliest by 2028 (indicative timing).
The timing as well as location, routing, capacity are subject to further studies. In this context, Elia and NGIHL are conducting a bilateral feasibility study."
123;LitPol Link Stage 2;LITGRID,PSE;The LitPol Link Stage 2 is a continuation of building of the interconnection between Poland and Lithuania in order to achieve the planned transmission capacity of 1000 MW in both directions. Building of additional internal investments in Poland and Lithuania are necessary. Project will help to further strenghten of Baltics integration into European market.
124;NordBalt phase 2;"AST;LITGRID;SVK";Second phase includes the internal network reinforcements in Sweden, Lithuania and Latvia, a key investments to accomplish full utilization of the NordBalt cable between Lithuania and Sweden
126;SE North-south reinforcements;SVK;Reactive measures in substations and series compensations in order to increase capacity between SE2 and SE3. Replacement of ageing overhead lines that also will contribute to the increased capacity.
127;Central Southern Italy;TERNA;"""The project consists in the reinforcement of southern Italy 400 kV network through new 400 kV lines. The activities will involve the network portions between the substation of Villanova and Foggia, Deliceto and Bisaccia as well as Laino and Altomonte"""
130;HVDC Wolmirstedt to area Isar;50Hertz Transmission, TenneT DE;2 GW HVDC-connection from North-East Germany (Area of Wolmirstedt), an area with high installed capacities of RES, to the South of Bavaria (area of Isar), an area with high consumption and connections to storage capabilities.  A Capacity extension to 4 GW is under investigation.
132;HVDC Line A-North;Amprion;Project 132 consists of a new HVDC cable from Emden-East to Osterath. This HVDC has a transfer capacity of 2 GW.
134;N-S Western DE_section South;"AMPRION;TRANSNET-BW";Project 134 provides significant North-South transmission capacity in Western Germany. The project consists of AC reinforcements and upgrades of existing corridors towards the load centers of Baden-Württemberg and Switzerland.
135;N-S Western DE_parallel lines;AMPRION;Project 135 provides significant grid reinforcement between Cologne and the Ruhr district (North-West-Germany) and Koblenz/Frankfurt (South-West-Germany) to integrate RES.
138;Black Sea Corridor;"""TRANSELECTRICA, ESO-EAD""";The project consists of one 400kV double circuit OHL Cernavoda-Stalpu with in/out connection of one circuit in Gura Ialomitei, one 400 kV double circuit OHL Smardan-Gutinas in Romania and also the new 400 kV OHL Dobrujda-Burgas in Bulgaria.
142;CSE4;ESO,IPTO-SA;The project concerns the construction of a new AC 400kV interconnection between Bulgaria and Greece and new AC 400kV overhead lines  at the south part of Bulgaria. This project will increase cross border transfer capacity between Bulgaria and Greece
144;Mid Continental East corridor;"TRANSELECTRICA; EMS";The project consists of one double circuit 400 kV line between Serbia and Romania and reinforcement of the network along the western border in Romania: one new simple circuit 400 kV line from Portile de Fier to Resita and upgrade from 220 kV double circuit to 400 kV double circuit of the axis between Resita and Arad, including upgrade to 400 kV of three substations along this path: Resita, Timisoara, Sacalaz.
150;Italy-Slovenia;"TERNA;ELES";"""The project consists in a new HVDC link between Salgareda (Italy) and Beričevo (Slovenia) which will strengthen the connection between Slovenia and Italy. On italian side the project is under permitting since 2012.
Terna and ELES are evaluating the opportunity to implement the project according to the following two phases:
• phase 1 reinforcement of existing grid (PSTs, upgrade of existing lines)
o Commissioning date: 2020
o Delta GTC contribution: 400 MW
• phase 2 HVDC link (two separate investments: one for the IT side and one for the SI side)
o Substation 1: Beričevo
o Rated power: 800/600 MW
o Commissioning date: 2022/2025
o Delta GTC contribution: 600 MW"
153;France-Alderney-Britain;RTE,FAB Link Ltd;France-Alderney-Britain (FAB) is a new HVDC subsea interconnector between Exeter (UK) and Menuel (France) with 1,4 GW capacity.
164;N-S Eastern DE_central section;TENNET-DE;North-South transmission in Germany. AC links from Northern Germany towards the load centers of Bavaria and Baden-Württemberg.
167;Viking DKW-GB;Energinet.dk, NGIHL;"2x700 MW HVDC subsea link across the North Seas. New substations on both sides; Bicker Fen (GB); Revsing (DK)"
170;Baltics synchro with CE;"AST;ELERING;LITGRID";The power system of the Baltic States which includes Estonia, Latvia, Lithuania (Baltic Integrated Power System) currently is operating in parallel with the Integrated/Unified Power System (IPS/UPS) of Russia and Belarus. The aim of this project is to remove the energy isolation of the Baltic States from the rest of the EU and connect their power systems with systems using the same technical standards and developing in the same European legal framework. This strategic goal has been set by the Prime Ministers of the Baltic States in 2007.
172;ElecLink;ElecLink;ElecLink is a new FR – UK interconnection cable with 1000 MW capacity through the Channel Tunnel between Sellindge (UK) and Mandarins (FR). Converter stations will be located on Eurotunnel concession at Folkestone and Coquelles. This HVDC interconnection is a PCI project (Project of Common Interest) no. 1.7.3
173;FR-BE II: PSTs Aubange-Moulaine;"ELIA;RTE";Installation of two phase shifting transformers in Aubange, one on each of the 225kV circuits of the Aubange-Moulaine interconnector.
174;Greenconnector;Worldenergy SA;Greenconnector is an HVDC interconnector project between Italy and Switzerland for power transport using DC cables rather than overhead lines. The route length is about 150 km. The design power is 1000 MW (1200 MW in overload condition), while the DC voltage is +/- 400 kV DC. Two cables will be installed, working with a bipolar scheme. Great part of the cables route will exploit a section of an existing oil pipeline, no longer in service since January 1997. This pipeline crosses the Italian and Switzerland border at Splügenpass and is running close by the two end stations of the Greenconnector project (Sils in Graubunden Canton and Verderio Inferiore, Lecco). The cables will be pulled inside the pipeline itself, reducing the amount of civil works required before and after cable laying and therefore limiting even temporary environmental impact. For about 47 km the cables will run across the Como lake.
175;Great Belt II;Energinet.dk;This project candidate includes an HVDC connector between Denmark-West (DKW) and Denmark-East (DKE). The connector is called Great Belt-2.
176;Hansa PowerBridge I;50Hertz Transmission, Svenska Kraftnät (SvK);New HVDC interconnector between Sweden (SE4) and Germany (50 Hertz, Continental) aiming to enhance the integration of the Nordic and the continental power market. Moreover the interconnector facilitates RES integration and increases the system adequacy in both systems.
179;DKE - DE (Kontek2);50Hertz Transmission, Energinet.dk;This project includes a HVDC subsea interconnector between Denmark-East (DKE) and Germany (DE) and is called Kontek-2. A final grid-connection solution is not prepared yet.
183;"""DKW-DE, Westcoast""";Energinet.dk,TENNET-DE;"New 400 kV line from Endrup (DK) to Klixbüll (DE), increasing the transfer capacity at the
West Coast between these countries. The project is labelled by the EC as project of common interest (PCI 1.3.1)."
186;east of Austria;APG;"To allow the grid integration of the planned renewable energy generation (mainly wind power) in the north-eastern part of Austria (""Weinviertel"") the transmission grid infrastructure (currently a rather weak 220kV line) has to be enforced and new substation for the connection needs to be erected."
187;St. Peter (AT) - Pleinting (DE);"APG;TENNET-DE";Increase of the cross border transmission capacity by erecting a new 380kV line between St. Peter (Austria) and Pleinting (Germany). This leads to an improved  connection of the very high amount of RES in Germany and the pump storages in the Austrian Alps.
190;NorthConnect;NorthConnect KS;"""A 650 km long subsea interconnector between Norway and Scotland is planned to be realised in 2022.  The interconnector is planned to be a 500 kV, 1400 MW HVDC subsea interconnector between western Norway (Simadalen) and eastern Scotland (Peterhead), UK."""
191;OWP TenneT Northsea Part 2;TENNET-DE;Connection of offshore wind parks in the North Sea to Germany. Mainly subsea DC cable. The  OWP will help to reach the European goal of CO2 reduction and RES integration
192;OWP Northsea TenneT Part 3;TENNET-DE;Connection of offshore wind parks in the North Sea to Germany. Mainly subsea DC cable. The  OWP will help to reach the European goal of CO2 reduction and RES integration
381;OWP Northsea Part 4;Amprion;"Connection of offshore wind parks in the North Sea to Germany. Mainly subsea DC cable. The  OWP will help to reach the European goal of CO2 reduction and RES integration. 
This project has been approved in the national grid development process 2017 under the condition, that it is to be re-confirmed in 2019."
193;Godelleta-Morella/La Plana;REE;This project consist of a new OHL 400 kV AC axis Godelleta-Morella/La Plana (Spain). This project allows to solve today and future congestion in the north-south axis of Levante
194;Cartuja;REE;This project includes a new 400 kV double circuit Cartuja-Arcos de la Frontera and a new substation Cartuja 400 kV (Spain). This project would allow in the long term to connect future onshore and offshore wind generation.
197;N-S Finland P1 stage 2;FINGRID;Several 400 kV AC lines are planned in Finland to be built to increase the North-South transmission capacity thusenabling the integration of new renewable and conventional generation in northern Finland and to compensate dismantling of obsolescent existing 220 kV lines. This project is fifth 400 kV overhead line connecting North Finland to South Finland.
199;Lake Geneva South;RTE,SWISSGRID;"This project comes on top of ""PST Foretaille"" and ""upstream grid reinforcement in France"" projects. It consists in upgrading the existing 225-kV overhead line south of Lake Geneva, possibly to 400-kV."
200;CZ Northwest-South corridor;CEPS;"""A corridor of internal 400 kV overhead lines inside the Czech Republic connecting new 420 kV substations between Vernerov, Vitkov and existing substation Prestice in the northwest-south direction incuding looping of existing 400 kV overheadline (V413: Reporyje-Prosenice) into the existing substation 420 kV Mirovka. The project consists of building of two new 420 kV substations Vernerov and Vitkov, building of two 400 kV overhead lines involving changing a 220 kV double-circuit lines to 400 kV double-circuit lines with a capacity of 2x1730 MVA between Vernerov-Vitkov and Vitkov-Prestice and building a new double-circuit overhead line between Mirovka and V413"""
203;Morella-La Plana (previosly Aragón-Castellon);REE;he project consists of a 400kV axis Morella-La Plana. The previous project already considered additional investments that are already in service, that is Mudejar-Morella , Mezquita-Morella and  a new 400kV substation Mudejar with connection to the axis Aragón-Teruel (Spain). This project reinforces the Cantabric-Mediterranean axis solving today and future congestions.
206;Reinforcement Southern DE;"TENNET-DE;TRANSNET-BW";"AC-busbar"""" in Southern Germany for energy dispatching within Bavaria and Baden-Württemberg and gathering solar energy."
207;Reinforcement Northwestern DE;TENNET-DE;Integration of on- and offshore RES in Lower Saxony
208;N-S Western DE_section North_1;"AMPRION;TENNET-DE";Project 208 consists of new 380 kV overhead line s(partly in existing corridor). The project is needed for integration of on- and offshore wind energy and transport to the load centres in western and southern parts of Germany.
209;Reinforcement Northeastern DE;TENNET-DE;New 380-kV-lines in the area of Schleswig-Holstein mainly for integration of Onshore-Wind.
210;Wurmlach (AT) - Somplago (IT) interconnection;Alpe Adria Energia Srl;"Somplago - Wurmlach interconnection is a cross-border electrical line promoted by Alpe Adria Energia Srl. The project concerns a 220kV a.c. merchant line, about 300 MW from Somplago substation to new Wurmlach substation, including Phase Shifter Transformer located in Austria""."
214;Interco Iceland-UK;"LANDSNET;NGIHL";Interconnector (Sea cable) between Iceland and Great Britain. The Cable is DC  with 800-1200 MW capacity and over 1.000 km long. 99.98% of the generation in Iceland  is RES. Icelands hydro generation is highly flexible and ideal for complementing intermittency of GB´s growing wind sector.
219;EuroAsia Interconnector;EuroAsia Interconnector;"""The Euro Asia Interconnector consists of a 500 kV DC underwater electric cable and any essential equipment and/or installation for interconnecting the Cypriot, Israeli and the Greek transmission networks (offshore). The Interconnector will have a capacity of 2000 MW and a total length of around 820 nautical miles/around 1518 km (approx. 329 km between CY and IL, 879 km between CY and Crete and 310 km between Crete and Athens) and allow for reverse transmission of electricity."""
225;2nd interconnector Belgium - Germany;"AMPRION;ELIA";"This project considers the possibility of a second ~1GW HVDC interconnection  between Belgium and Germany at the earliest by 2028 (indicative timing).
The timing as well as location, routing, capacity are subject to further studies. In this context, Elia and Amprion are conducting a bilateral feasibility study."
227;Transbalkan Corridor;EMS, CGES, NOSBiH;The project aim is to increase transmission capacity within Serbia and facilitate  exchange of energy between north-east part of Europe and south-west of  Europe.
228;Muhlbach - Eichstetten;"RTE; TransnetBW; Amprion";"Reinforcement of the existing 400kV OHL: 

Deployment of a second 400kV circuit at existing double circuit OHL Muhlbach - Eichstetten, instead of the currently operated circuit Eichstetten - Vogelgruen (currently operated with 225kV). Some topological adjustments of the existing grid  in the area might prove to be necessary."
229;GerPol Power Bridge II;50Hertz Transmission, PSE;Project consist from following investments: indentation to the 2x400 kV line Baczyna-Plewiska (new routes: Baczyna-Zielona Góra, Zielona Góra-Plewiska), 2x400 kV line Zielona Góra - Gubin, crossborder line 2x400 kV line Gubin (PL)-Eisenhuettenstadt (DE)
230;GerPol Power Bridge I;PSE;The reinforcements in the Polish transmission network in western part of the country near Polish/German border. Construction new AC 2x400 kV lines Mikułowa - Świebodzice, Krajnik - Baczyna and Baczyna - Plewiska.
231;Concept project Germany-Switzerland ;"swissgrid; TransnetBW; Amprion";"""This concept project focuses on increasing the transmission capacity between Germany and Switzerland. 

One already identified investment is the upgrade of a 220 kV crossborder line to 380 kV between the substations of Tiengen (DE) and Beznau (CH)."""
233;Connection of Aragon  Pumping hydro;REE;Potential necessary transmission development for the connection of 3rd party storage project (pumping hydro) that has received a PCI label in the 3rd list 2017. No details about the required network are known yet.
234;DKE - PL-1;"Energinet; PSE";"HVDC connection DKE-PL;"
235;HVDC Brunsbüttel/Wilster to Großgartach/Grafenrheinfeld;"TenneT-DE; TransnetBW";"4 GW HVDC connection from Northern Germany (areas of Brunsbüttel/Wilster) to Bavaria / Baden-Württemberg (areas of
Großgartach/Grafenrheinfeld).North Germany is characterised by a high amount of RES, the feed-in exceeds the local
load and therefore there is a high demand for transfer to the load centres in southern parts of Germany. With the further
installation of additional renewable energy, the relevance of this projects increases"
236;Internal Belgian Backbone West: HTLS upgrade Horta-Mercator;ELIA;Project consists of replacing the conductors of the ~50km double circuit 380 kV overhead line between the substations of Horta and Mercator with high performance conductors, hereby doubling the transport capacity of the Horta-Mercator corridor.
239;Fenno-Skan 1 renewal;"Fingrid;Svenska Kraftnät";Replacement of the existing 400 kV HVDC cable interconnection between Finland and Sweden. Fennoskan 1 will be decomissioned at the same time with this project being commisioned, which reduces capacity between FI and SE3 by 400 MW while increasing SE2-FI by 800 MW.
240;380-kV-grid enhancement between Area Güstrow and Wolmirstedt;50Hertz Transmission;380-kV-grid enhancement between Area Güstrow and Wolmirstedt
241;Upgrading of existing 220 kV lines between HR and BA to 400 kV lines;"HOPS;NOS BiH";"Upgrading of existing  220 kV lines between SS Dakovo (HR) and SS Tuzla/Gradacac (BA) to 400 kV lines.
The project 241, has been proposed assessed in the TYNDP 2016, based on the results of common planning studies performed in the CSE Region during preparation of Regional investment plan 2015. The project assumes upgrade of existing 220 kV lines between SS Đakovo (HR) and SS Tuzla (BH) and SS Gradačac (BH) to 400 kV, with additional internal new double 400 kV line connecting SS Đakovo to existing 400 kV line Žerjavinec - Ernestinovo. This project is under consideration and there is a need for pre-feasibility study."
242;Offshore Wind Baltic Sea (I);50Hertz Transmission;AC grid connections connecting Offshore Wind Farms in Cluster 1 of the Baltic Sea (see German Offshore Grid Development Plan). Cluster 1 is located north east of Ruegen in the German Exclusive Economic Zone.
243;New 400 kV interconnection line between Serbia and Croatia;EMS, HOPS;Construction of new 400 kV interconnection line Sombor (RS) - Ernestinovo (HR)
244;Vigy - Uchtelfangen area;"Amprion;Rte";An upgrade of the existing over headline between the substations Ensdorf, Uchtelfangen and Vigy is planned to increase the thermal cross-border capacity. For this reinforcement the options are either the implementation of High Temperature Low Sag (HTLS) conductors or a reconstruction of the tie-line in the existing route. To allow an optimal use of the capacity increase the installation of phase shifter transformers (PSTs) is necessary. For these measures the substations have to be adjusted accordingly.
245;Upgrade Meeden - Diele;"TENNET-NL;TENNET-DE";Increase of the interconnection capacity between The Netherlands and Germany by adding one new phase shifting transformer and apply dynamic line rating on the existing 380 kV double circuit tie line between Meeden and Diele.
247;AQUIND Interconnector;Aquind Limited;"AQUIND Interconnector is a proposed High Voltage Direct Current (HVDC) subsea and underground electric power transmission link between the South of England and Normandy in France with a net nominal power capacity of 2 GW. The Proposed Development shall consist of two independent 1000 MW interconnector links.

• The 320 kV DC subsea cable route will be between 170 km to 190 km in length, spanning between the two landfall sites at Eastney (UK) and near Dieppe (France). 
• The British 320 kV DC terrestrial cables will be approximately 20 km long.
• The French 320 kV DC terrestrial cables will be approximately 40 km long.
• The 400 kV AC cable routes are not anticipated to exceed 2 km in UK.
• The 400 kV AC cable routes are not anticipated to exceed 2 km in France. 

The main investment items are listed above, additional items will include the procurement of spare parts for the cables and converter stations."
248;Offshore Wind Baltic Sea (II);50Hertz Transmission;"AC and DC grid connections connecting Offshore Wind Farms in
Cluster 1, 2, 4 and 6 of the Baltic Sea (see German Offshore Grid
Development Plan)"
250;"""Merchant line """"Castasegna (CH) - Mese (IT)""""""";Mera srl (a 100% subsidiary of Repower AG);The planned Transmission project is a merchant line on the swiss-italian border between Castasegna (CH) and Mese (IT). The planned Cable connection in 220 kV AC has a length of around 14 km, 13.5 of witch in Italy. In connection with the realisation of the project a Ra-tionalisation of the 380 and 132 kV Grid in the region Mese (Provincia di Sondrio) is planned. The expected NTC increase is around 200-250 MW.
251;Audorf-Dollern;TenneT-DE;"New 380-kV-line Audorf – Hamburg/Nord – Dollern” in existing 220-kV-corridor. Main focus of the project is the integration
of onshore-RES – mainly wind – in Schleswig-Holstein. The project is labeled as PCI 1.4.2. and 1.4.3. It is the
southbound connection of PCI 1.4.1. and is necessary to increase the GTC between Dänemark/West and Germany by
720/1000 MW."
252;Internal Belgian Backbone Center-East: HTLS upgrade Massenhoven-VanEyck-Gramme-Courcelles-Bruegel-Mercator;ELIA;"This project structurally strenghtens the central & eastern part of the internal Belgian backbone. The current conductors on the 380kV ring Massenhoven-VanEyck-Gramme-Courcelles-Bruegel-Mercator will be replaced by HTLS conductors, doubling the capacity.

The implementation starts with the upgrade of the Massenhoven-VanEyck section by 2024 as this is the weakest link only having 1 conductor at the moment. It then follows a phased approach running up to 2035. Phasing is subject to optimalisation in function of outage constraints (operational secutiry) and the evolution of the production park."
253;Upstream reinforcement in France to increase FR-CH capacity;RTE;"The project consists in attracting the flows to the interconnection south of Lake Geneva in order to alleviate the congestion on the link west to Lake Geneva. It is necessary before implementing Project 199  """"Lake Geneva South"""" project. This project is coupled with the ""PST Foretaille"" project and will be implemented right after the implementation of PST in Foretaille."
