Project Id;Promotor;Project Name;Description;Investment ID;Name;From;To;Elements Type;Technology Type;Voltage Level;Expected Commissioning Year;Status;Tso In Charge From;Tso In Charge To;country 1;country 2;country 3
16;"REE;RTE";Biscay Gulf;The project consist of  370 km HVDC-VSC link (2 bipoles of 1000 MW each) mainly subsea in the Biscay Gulf, between Gatica (Basque Counrty, ES) and Cubnezais (Aquitaine, FR). Included in the Madrid Declaration, this project aims at improving the interconnection ES-FR. This project was included in the 2013,2015 and 2017 PCi list (PCI 2.7);38;HVDC Gatica-Cubnezais;Gatica (ES);Cubnezais (FR);Subsea Cable;DC;320;01/ 01/ 2025;In Permitting;REE;RTE;Spain;France;
21;"RTE;TERNA";Italy-France;"""The Project comprises a new  320 kV HVDC  interconnection between France and Italy. The new HVDC link will connect the substations of Piossasco and Grand Ile mainly along motor way infrastructures and the Fréjus tunnel.""";55;Savoie - Pièmont;Grande Ile (FR);Piossasco (IT);Underground Cable;DC;320;2019;Under Construction;RTE;TERNA;France;Italy;
23;"ELIA; RTE";FR-BE I: Avelin/Mastaing-Avelgem-Horta HTLS;The project consists in the reconductoring of the existing 80km double-circuit 400kV AC cross-border line between Lille (Avelin/Mastaing, FR) - Avelgem (BE) and onwards to Zomergem (Horta, BE) with High Temperature Low Sag conductors to double its capacity.;60;FR-BE I: Avelin/Mastaing-Avelgem-Horta HTLS;Avelin/Mastaing (FR);Horta (BE);Overhead Line;AC;400;1/1/2022;In Permitting;RTE;ELIA;France;Belgium;
25;NGIHL,RTE;IFA2;IFA2 is a new HVDC VSC subsea interconnector that will develop between Tourbe in France (area of Caen) and Chilling in Great Britain (area of Southampton).;62;IFA2;Tourbe (FR);Chilling (GB);Subsea Cable;DC;320;1/ 1/ 2020;Under Construction;RTE;NGIHL;France;Great Britain;
26;"APG; TERNA";Reschenpass Interconnector Project;New 220kV interconnector between the substations Nauders (AT) and Glorenza (IT);614;Reschenpass Interconnector;Nauders (AT);Glorenza (IT);Underground Cable;AC;220;2021;In Permitting;APG;Terna;Austria;Italy;
28;"CGES;TERNA";Italy-Montenegro;""" The Italy-Montenegro interconnection project includes a new HVDC subsea cable between Villanova (Italy) and Lastva (Montenegro) and the DC converter stations. The HVDC link between Italy and Balkansis correlated with the Transbalkan Corridor (projects 146 and 227) and the Mid Continental East Corridor (project 144).""";70;First HVDC Module IT-ME;Villanova (IT);Lastva (ME);Subsea Cable;DC;500;2019;Under Construction;TERNA;CGES;Italy;Montenegro;
;;;;624;SS 400/110 kV Lastva;Lastva (ME);N/A;Substation;AC;400;31/12/ 2018;Under Construction;CGES;N/A;Italy;Montenegro;
;;;;1503;Second HVDC Module IT-ME;Villanova (IT);Lastva (ME);Subsea Cable;DC;500;2026;Under Construction;Terna;CGES;Italy;Montenegro;
29;"TERNA; STEG";Italy-Tunisia;"""The project consists in a new interconnection between Tunisia and Sicily to be realized through an HVDC submarine cable. The realization of the project is supported by the Italian and Tunisian Governments to increase the interconnection capacity of the Euro-Mediterranean system. Moreover, the project will contribute to reduce, under specific conditions, present and future limitations to the power exchanges on the northern Italian border, with France, Switzerland, Austria and Slovenia, and therefore it will allow to significantly increase the transmission capacity and its exploitation by at least 500 MW on that boundary.""";635;Elmed Project;Sicily Area (IT);Tunisia node;Subsea Cable;DC;400;2025;In Permitting;TERNA;STEG;Italy;Tunisia;
31;"SWISSGRID;TERNA";Italy-Switzerland;""" The project consists of a new 400 kV line San Giacomo-Pallanzeno, conversion from AC to DC of the 220 kV line between Pallanzeno and Milan area, including the realization of the 2 AC/DC converter stations and 220 kV to 400 KV substation upgrade. Additional internal lines in Italy and in Switzerland are required to get the full advantage from the interconnection capacity provided by the cross-border line""";642;San Giacomo Project;All'Acqua (CH);Pallanzeno(IT)-Baggio(IT);Overhead Line;AC;380;2025;In Permitting;SWISSGRID;TERNA;Switzerland;Italy;
33;TERNA;Central Northern Italy;"""The project consists in the strengthening of interconnection between the northern and the central part of Italy. It will involve the upgrading of existing 220 kV over-head line to 400 kV between Colunga and Calenzano substations as well as the removing of limitations on the existing 220 kV network in Central Italy""";90;90;Calenzano (IT);Colunga (IT);Overhead Line;AC;400;2022;In Permitting;TERNA;TERNA;Italy;;
;;;;1041;Rem. lim. in Central Italy;Villanova (IT);S. Barbara (IT);Overhead Line;AC;220;2022;Planned But Not Yet Permitting;TERNA;TERNA;Italy;;
35;CEPS;CZ Southwest-east corridor;"""A corridor of internal 400 kV overhead lines inside the Czech Republic connecting existing 420 kV substations between Prestice, Kocin, Mirovka and Cebin in the southwest-east direction. The project consists of buidling a new AC 400 kV overhead line which connects 420 kV substations Kocin and Mirovka with double circuit line of about 120.5 km lenght and a capacity of 2x1730 MVA, building of a 400 kV overhead lines that involves changing of a 400 kV existing single-ciruit line to double-circuit line with a capacity of 2x1730 MVA between Kocin-Prestice. The upgrading of the existing 420 kV substation Kocin is also a part of the project""";311;R Kocin;Kocin (CZ);N/A;Substation;AC;400;1/ 1/ 2024;Under Construction;CEPS;CEPS;Czech Republic;;
;;;;313;Kocin-Mirovka;Kocin (CZ);Mirovka (CZ);Overhead Line;AC;400;1/ 1/ 2024;In Permitting;CEPS;CEPS;Czech Republic;;
;;;;315;Kocin-Prestice;Kocin (CZ);Prestice (CZ);Overhead Line;AC;400;1/ 1/ 2028;In Permitting;CEPS;CEPS;Czech Republic;;
36;50Hertz Transmission, Energinet.dk;Kriegers Flak CGS;The Combined Grid Solution (CGS) is new a AC offshore connection between Denmark and Germany with back to back stations placed in Germany. The project is a combined grid connection of the offshore wind farms Kriegers Flak, Baltic 1, 2 and an interconnection between both countries.;141;Kriegers Flak CGS, TYNDP ID: 36.141;Ishøj / Bjæverskov (DK);Bentwisch (DE);Subsea Cable;AC;150;31/12/2018;Under Construction;Energinet.dk;50Hertz Transmission GmbH;Denmark;Germany;
37;"STATNETT;TENNET-DE";"""Norway - Germany, NordLink""";NordLink: a new HVDC connection between Southern Norway and Northern Germany.  Estimated subsea cable length: 514km. Capacity: 1400 MW.;142;Norway - Germany HVDC;Tonstad (NO);Wilster (DE);Subsea Cable;DC;500;01/ 01/ 2020;Under Construction;Statnett;TenneT-DE;Norway;Germany;
;;;;406;Western corridor;(Southern part of Norway) (NO);(Southern part of Norway)(NO);Overhead Line;AC;400;2020;Under Construction;Statnett;Statnett;Norway;Germany;
39;"Energinet.dk; TENNET-DE";"""DKW-DE, step 3""";New double circuit 380kV line from Kassoe (DK) to Audorf (DE). As third phase of the Danish-German agreement to upgrade cross border transfere capacity. The project is labelled by the EC as project of common interes (PCI 1.4.1);144;Audorf - Kassoe;Audorf (DE);Kassoe (DK);Overhead Line;AC;380;31/ 12/ 2020;Under Construction;TenneT-DE;Energinet.dk;Denmark;Germany;
40;"CREOS; ELIA; AMPRION";Belgium-Luxemburg-Germany: long-term perspective;"An increase of transfer capacity across the BE-LU-DE corridor is envisioned towards the 2030-2040 time horizon.

Further studies will determine the appropriate implementation option and timing, taking into account
- the recent evolutions with installation of PST in Schifflange and creation of the LuxRing as reported in previous TYNDPs
- the expected evolution on the LU-DE border as presented in project 328";650;BE-LUX-DE Long-Term perspective;Aubange (TBC);LUX-DE (TBC);Underground Cable;AC;0;2035;Under Consideration;ELIA;"CREOS; AMPRION";Belgium;Germany;Luxembourg
47;"AMPRION; APG";Westtirol - Vöhringen;"Westtirol (AT) - Zell/Ziller (AT)
Westtirol (AT) - Vöhringen (DE)";219;219: Westtirol - Zell/Ziller (AT internal);Westtirol (AT);Zell-Ziller (AT);Overhead Line;AC;380;2024;Planned But Not Yet Permitting;APG;APG;Germany;Austria;
;;;;689;689: Vöhringen (DE) - Westtirol (AT);Vöhringen (DE);Westtirol (AT);Overhead Line;AC;380;2024;Planned But Not Yet Permitting;Amprion;APG;Germany;Austria;
48;MAVIR,SEPS;New SK-HU intercon. - phase 1;This project will increase the transfer capacity between Slovak and Hungarian transmission systems, improve security and reliability of operation both transmission systems and support North - South RES power flows in CCE region. Main investments of this project are double circuit AC OHL 400 kV from new Gabcikovo (Slovakia) substation to Gonyu (Hungary) substation, with one circuit connected to the Velky Dur (Slovakia) substation and double circuit AC OHL (preliminary armed only with one circuit on Hungarian side) 400 kV from Rimavska Sobota (Slovakia) substation to Sajoivanka (Hungary) substation.;696;Hunew 1;Sajóivánka (HU);N/A;Compensation;AC;400;2020;In Permitting;MAVIR;N/A;Slovakia;Hungary;
;;;;697;Hunew 2;Sajóivánka (HU);N/A;Substation;AC;400;2020;In Permitting;MAVIR;N/A;Slovakia;Hungary;
;;;;1500;1. SK-HU interconnection;Gabcikovo (SK);Gonyu (HU);Overhead Line;AC;400;2020;In Permitting;SEPS;MAVIR;Slovakia;Hungary;
;;;;1501;2. SK-HU interconnection;Rimavska Sobota (SK);Sajoivanka (HU);Overhead Line;AC;400;2020;In Permitting;SEPS;MAVIR;Slovakia;Hungary;
62;"AST; ELERING";Estonia-Latvia 3rd IC;Project nr 62 is a planned third 330 kV interconnection between Estonia and Latvia. The project consists of 3 investments of which nr 386 is the main inter-area investment, AC 330 kV OHL between Kilingi-Nõmme substation in Estonia and Riga CHP2 substations;386;3rd EE-LV interconnection;Kilingi-Nomme (EE);Riga CHP2 (LV);Overhead Line;AC;330;2020;Under Construction;Elering;AST;Estonia;Latvia;
;;;;735;Harku-Sindi 330kV OHL;Harku (EE);Sindi (EE);Overhead Line;AC;330;31/ 12/ 2020;Under Construction;Elering;Elering;Estonia;Latvia;
;;;;1062;Riga CHP2 - Riga HPP;Riga CHP2;Riga HPP;Overhead Line;AC;330;1/ 1/ 2020;In Permitting;AST;AST;Estonia;Latvia;
71;Energinet,TENNET-NL;COBRA cable;The project is an interconnection between Endrup (Denmark) and Eemshaven (The Netherlands). The project consists of a 320 kV DC subsea cable and related substations on both ends, 325 km apart, applying VSC DC technology.;427;COBRA Cable;Endrup (DK);Eemshaven (NL);Subsea Cable;DC;400;2019;Under Construction;Energinet;TENNET-NL;Denmark;Netherlands;
74;ELIA, NGIHL, NGET;Thames Estuary Cluster (NEMO-Link);This project envisions the realization of NEMO-Link – the first interconnector between Great Britain and Belgium – as a 1 GW HVDC link of ~140km with technical commissioning by 2018 and operation in 2019, including a number of onshore UK reinforcements to facilitate this and other potential interconnector connections within the Thames Estuary region.The NEMO interconnector is promoted by NGIHL and Elia. The reinforcements to the internal GB network are the responsibility of NGET.;443;NEMO;Richborough (GB);Gezelle (BE);Subsea Cable;DC;400;1/ 1/ 2019;Under Construction;NGET;ELIA;Belgium;Great Britain;
;;;;449;Richborough - Canterbury;Richborough (GB);Canterbury (GB);Overhead Line;AC;400;2018;In Permitting;NGET;NGET;Great Britain;Great Britain;
;;;;450;SELL - DUNG Reconductoring;Sellindge (GB);Dungeness (GB);Overhead Line;AC;400;30/ 11/ 2016;Commisioned;NGET;NGET;Great Britain;Great Britain;
75;ELIA;Modular Offshore Grid (MOG);The Modular Offshore Grid aims at centralizing the offshore wind of four offshore future wind farms in Belgium in an offshore hub and transporting it via three 220 kV AC cables to the new substation Stevin at Zeebrugge. Via the substation Stevin the MOG makes the connection to the STEVIN link (new 400kV axis between Zeebrugge & Zomergem).  The MOG is expected to be fully operational by 2020.;752;Modular Offshore Grid;Offshore platform;Stevin (Zeebrugge);Subsea Cable;AC;220;2020;Under Construction;ELIA;ELIA;Belgium;;
77;"NGET; SPT";Anglo-Scottish -1;A new 2.4GW (short term rating) submarine HVDC cable route from Hunterston to Deeside with associated AC network reinforcement works at both ends.;452;Western HVDC Link;Hunterston (GB);Deeside (GB);Subsea Cable;DC;500;2017;Under Construction;SPT;NGET;United Kingdom;;
78;NGET;South West Cluster;New 400kV substation at Hinkley Point. New 400kV transmission route from Hinkley Point to Seabank. Reconstruction of Bridgewater substation for 400kV operation. Uprate Bridgewater - Melksham to 400kV.;458;HINP-SEAB New Double Circuit;Hinkley Point (GB);Seabank (GB);Overhead Line;AC;400;2024;In Permitting;NGET;NGET;United Kingdom;;
81;EIRGRID, SONI;North South Interconnector;A new 400 kV interconnector between Woodland in Ireland and Turleenan in Northern Ireland.;462;462;Woodland (IE);Turleenan (NI);Overhead Line;AC;400;2020;In Permitting;EirGrid;SONI;Ireland;Northern Ireland;
82;EIRGRID, SONI;RIDP I;The infrastructure development is required to facilitate connection of renewable generation in the North and West of the Island.  It will further integrate the Ireland and Northern Ireland transmission systems and provide capacity for substantial demand growth.;463;Srananagh - South Donegal;Srananagh (IE);New substation in South Donegal (IE);Overhead Line;AC;220;2029;Planned But Not Yet Permitting;EirGrid;EirGrid;Ireland;Northern Ireland;
;;;;896;Omagh South to South Donegal;South Donegal (IE);Omagh South (NI);Overhead Line;AC;275;2029;Planned But Not Yet Permitting;EirGrid;SONI;Ireland;Northern Ireland;
;;;;897;Omagh South to Turleenan;Omagh South;Turleenan;Overhead Line;AC;275;2029;Planned But Not Yet Permitting;SONI;SONI;Ireland;Northern Ireland;
85;REN;Integration of RES in Alentejo;The main objective of this project consists in introducing the network reinforcements that are needed to allow the connection of new RES generation (mostly solar but also some wind) that is foreseen for the south region of Portugal, where the solar potential is considerably high. The project includes two new 400 kV OHL that will constitute a new axis between F. Alentejo-Ourique-Tavira substations. It is also included the expansion of the Ourique substation to include the 400 kV voltage level.;779;F.Alentejo-Ourique-Tavira;F. Alentejo (by Ourique);Tavira (by Ourique);Overhead Line;AC;400;2024-2026;Planned But Not Yet Permitting;REN;REN;Portugal;;
85;REN;Integration of RES in Alentejo;The main objective of this project consists in introducing the network reinforcements that are needed to allow the connection of new RES generation (mostly solar but also some wind) that is foreseen for the south region of Portugal, where the solar potential is considerably high. The project includes two new 400 kV OHL that will constitute a new axis between F. Alentejo-Ourique-Tavira substations. It is also included the expansion of the Ourique substation to include the 400 kV voltage level.;780;Extension of Ourique substation;Ourique (PT);-;Substation;AC;400;2024-2026;Planned But Not Yet Permitting;REN;-;Portugal;;
92;"AMPRION;ELIA";ALEGrO;This project realizes the first interconnection between Belgium (Lixhe) and Germany (Oberzier) as a 100 km HVDC link with a bidirectional rated power of 1.000 MW capacity;146;ALEGrO;Oberzier (DE);Lixhe (BE);Underground Cable;DC;320;2020;In Permitting;AMPRION;ELIA;Belgium;Germany;
94;50Hertz Transmission, PSE;GerPol Improvements;Upgrade of the existing 220 kV double interconnection line between Krajnik and Vierraden to 400 kV double line in the same direction together with installation of Phase Shifting Transformers on two existing interconnection lines (Krajnik-Vierraden by 50Hertz);139;Krajnik-Vierraden;Vierraden (DE);Krajnik (PL);Overhead Line;AC;400;31/12/2020;Under Construction;50Hertz;PSE S.A.;Poland;Germany;
;;;;796;Krajnik;Krajnik (PL);Krajnik (PL);Substation;AC;400;2019;Under Construction;PSE S.A.;PSE S.A.;Poland;Germany;
;;;;1492;PST in Mikulowa;Mikulowa (PL);Mikulowa (PL);PST;AC;400;30/06/2016;Commisioned;PSE;PSE;Poland;;
;;;;1493;PST Vierraden;Vierraden (DE);Vierraden (DE);Phase Shift Transformer;AC;400;31/12/2018;Under Construction;50Hertz;50Hertz;Germany;;
96;FINGRID;Keminmaa-Pyhänselkä;"The project is 400 kV overhead line in North Finland. It is part of the 3rd AC cross border project between Finland and Sweden.
Will also allow integration of new RES generation at Bothnian bay.";801;FI5 KI-PS;Keminmaa (FI);Pyhanselka (FI);Overhead Line;AC;400;1/ 1/ 2024;In Permitting;Fingrid;Fingrid;Finland;;
103;TENNET-NL;Reinforcements Ring NL phase I;Upgrade of existing 380kV circuits in the Dutch main ring from 2,5 kA to 4 kA.;1488;Diemen-Lelystad-Ens;Diemen;Ens;Overhead Line;AC;380;2020;Under Construction;TENNET-NL;TENNET-NL;Netherlands;;
;;;;1490;Ens-Zwolle;Ens;Zwolle;Overhead Line;AC;380;2022;Planned But Not Yet Permitting;TENNET-NL;TENNET-NL;Netherlands;;
;;;;1539;Krimpen-Geertruidenberg;Krimpen;Geertruidenberg;Overhead Line;AC;380;2020;In Permitting;TENNET-NL;TENNET-NL;Netherlands;;
;;;;1540;Eindhoven-Maasbracht;Eindhoven;Maasbracht;Overhead Line;AC;380;2023;In Permitting;TENNET-NL;TENNET-NL;Netherlands;;
;;;;1560;Randstad380 noordring;Beverwijk;Bleiswijk;Overhead Line;AC;380;2018;Under Construction;TENNET-NL;TENNET-NL;Netherlands;;
107;EIRGRID,RTE;Celtic Interconnector;Celtic Interconnector will be the first interconnection between Ireland and France. A survey of the route of the HVDC (VSC) link with 700 MW capacity has been done from the southern coast of Ireland to La Martyre (Finistère) in France.;810;France Ireland Interconnector;West Wexford or East Cork (IE);La Martyre (FR);Subsea Cable;DC;320;2026;Under Consideration;EIRGRID;RTE;France;Ireland;
110;"NGIHL;STATNETT";Norway-Great Britain NSN;North Sea Link, 1400 MW and 720 km long interconnector between Norway and England.;424;Norway - Great Britain;Kvilldal (NO);Blythe (GB);Subsea Cable;DC;500;2021;Under Construction;Statnett;NHIGL;United Kingdom;norway;
111;"FINGRID;SVK";3rd AC Finland-Sweden north;Third AC 400 kV overhead line interconnector between Finland north and Sweden SE1. Strengthening the AC connection between Finland and Sweden is necessary due to market needs, security of supply in Finland, new wind power generation and larger conventional units.;396;3rd AC Finland-Sweden north;Keminmaa (Finland);Messaure (Sweden, bidding area SE1);Overhead Line;AC;400;2025;In Permitting;Fingrid;Svenska kraftnät;Finland;Sweden;
113;"AMPRION;TENNET-NL";Doetinchem - Niederrhein;This new AC 380-kV double circuit overhead line will interconnect The Netherlands and Germany (Rhine-Ruhr area). Upon realisation of the project there will be four double circuit interconnections between The Netherlands and Germany. The project will increase the cross border capacity and will facilitate the further integration of the European Energy market especially in Central West Europe. The new line will also increase the security of supply.;145;Doetinchem-Niederrhein;Niederrhein (DE);Doetinchem (NL);Overhead Line;AC;380;2018;Under Construction;AMPRION;TENNET-NL;Netherlands;Germany;
120;ELIA;MOG II: connection of up to 2 GW additional offshore wind Belgium;"As per the concept of MOG (project 75), the MOG II aims at centralizing the offshore wind farms in an offshore hub and transporting it via 220 kV AC cables to a substation along a new corridor Stevin-Avelgem (see project 329).  Current hypothesis is to apply this concept in two-fold thus two platforms and cable sets centralizing ~1000 MW each

Structure, capacity, timing etc. are all subject to the identification of new offshore concession zones in the Belgian part of the North Sea and subsequent proces to translate this into an implementation plan with all involved stakeholders.";1625;MOG II: connection of up to 2 GW additional offshore wind Belgium;Offshore (TBD);Onshore (TBD);Subsea Cable;AC;220;2030;Under Consideration;Elia;Elia;Belgium;;
121;"ELIA;NGIHL";Nautilus: 2nd interconnector Belgium - UK;"This project considers the possibility of a ~1 - 1.4 GW second HVDC connection between UK and Belgium at the earliest by 2028 (indicative timing).
The timing as well as location, routing, capacity are subject to further studies. In this context, Elia and NGIHL are conducting a bilateral feasibility study.";934;Nautilus: 2nd interco UK - BE;Leiston (UK);TBD (BE);Subsea Cable;DC;400;2028;Under Consideration;NGHIL;ELIA;Belgium;Great Britain;
123;LITGRID,PSE;LitPol Link Stage 2;The LitPol Link Stage 2 is a continuation of building of the interconnection between Poland and Lithuania in order to achieve the planned transmission capacity of 1000 MW in both directions. Building of additional internal investments in Poland and Lithuania are necessary. Project will help to further strenghten of Baltics integration into European market.;373;Ostroleka-Stanislawow;Ostroleka (PL);Stanislawow (PL);Overhead Line;AC;400;31/ 12/ 2023;Planned But Not Yet Permitting;PSE;PSE;Poland;Lithuania;
124;"AST;LITGRID;SVK";NordBalt phase 2;Second phase includes the internal network reinforcements in Sweden, Lithuania and Latvia, a key investments to accomplish full utilization of the NordBalt cable between Lithuania and Sweden;378;330 kV OHL Panevezys-Musa;Panevezys;Musa;Overhead Line;AC;330;2023;Planned But Not Yet Permitting;LITGRID;LITGRID;Lithuania;Sweden;
;;;;385;Grobina (LV) - Imanta (LV);Grobina (LV);Imanta (LV);Overhead Line;AC;330;2019;Under Construction;AST;AST;Lithuania;Sweden;
;;;;733;Ekhyddan-Nybro-Hemsjo;Ekhyddan (SE);Nybro/Hemsjo (SE);Overhead Line;AC;400;2023;In Permitting;Svk;Svk;Lithuania;Sweden;
126;SVK;SE North-south reinforcements;Reactive measures in substations and series compensations in order to increase capacity between SE2 and SE3. Replacement of ageing overhead lines that also will contribute to the increased capacity.;403;Reinforcements SE2-SE3 in Sweden;SE2;SE3;Compensation;AC;400;2030;Under Consideration;Svk;Svk;Sweden;;
127;TERNA;Central Southern Italy;"""The project consists in the reinforcement of southern Italy 400 kV network through new 400 kV lines. The activities will involve the network portions between the substation of Villanova and Foggia, Deliceto and Bisaccia as well as Laino and Altomonte""";86;86;Foggia (IT);Villanova (IT);Overhead Line;AC;400;2022;In Permitting;TERNA;TERNA;Italy;;
;;;;96;96;Deliceto (IT);Bisaccia (IT);Overhead Line;AC;400;31/ 12/ 2022;In Permitting;TERNA;TERNA;Italy;;
;;;;645;ITA-3;Laino (IT);Altomonte (IT);Overhead Line;AC;400;1/ 1/ 2022;In Permitting;TERNA;TERNA;Italy;;
130;50Hertz Transmission, TenneT DE;HVDC Wolmirstedt to area Isar;2 GW HVDC-connection from North-East Germany (Area of Wolmirstedt), an area with high installed capacities of RES, to the South of Bavaria (area of Isar), an area with high consumption and connections to storage capabilities.  A Capacity extension to 4 GW is under investigation.;665;Wolmirstedt;Wolmirstedt (DE);Isar (DE);Underground Cable;DC;n/a;2025;In Permitting;50Hertz;TenneT DE;Germany;;
132;Amprion;HVDC Line A-North;Project 132 consists of a new HVDC cable from Emden-East to Osterath. This HVDC has a transfer capacity of 2 GW.;661;HVDC Line A-North;Emden East (DE);Osterath (DE);Overhead Line;DC;400;1/ 1/ 2025;Planned but not yet permitting;Amprion;Amprion;Germany;;
134;"AMPRION;TRANSNET-BW";N-S Western DE_section South;Project 134 provides significant North-South transmission capacity in Western Germany. The project consists of AC reinforcements and upgrades of existing corridors towards the load centers of Baden-Württemberg and Switzerland.;176;Daxlanden-Eichstetten;Daxlanden (DE);Eichstetten (DE);Overhead Line;AC;380;1/ 1/ 2021;Planned but not yet permitting;TransnetBW;TransnetBW;Germany;;
;;;;680;Urberach - Daxlanden;Urberach (DE);Daxlanden (DE);Overhead Line;AC;400;1/ 1/ 2023;Planned but not yet permitting;Amprion;TransnetBW;Germany;;
135;AMPRION;N-S Western DE_parallel lines;Project 135 provides significant grid reinforcement between Cologne and the Ruhr district (North-West-Germany) and Koblenz/Frankfurt (South-West-Germany) to integrate RES.;179;Rommerskirchen - Weißenthurm;Rommerskirchen (DE);Weißenthurm (DE);Overhead Line;AC;400;1/ 1/ 2019;Under Construction;Amprion;Amprion;Germany;;
;;;;188;Kruckel - Dauersberg;Kruckel (DE);Dauersberg (DE);Overhead Line;AC;380;1/ 1/ 2021;In Permitting;Amprion;Amprion;Germany;;
138;"""TRANSELECTRICA, ESO-EAD""";Black Sea Corridor;The project consists of one 400kV double circuit OHL Cernavoda-Stalpu with in/out connection of one circuit in Gura Ialomitei, one 400 kV double circuit OHL Smardan-Gutinas in Romania and also the new 400 kV OHL Dobrujda-Burgas in Bulgaria.;273;400kV OHL Cernavoda-Stalpu;Cernavoda (RO);Stalpu (RO);Overhead Line;AC;400;2020;In Permitting;Transelectrica;Transelectrica;Romania;Bulgaria;
;;;;275;400 kV OHL Smardan-Gutinas;Smardan (RO);Gutinas (RO);Overhead Line;AC;400;2020;In Permitting;Transelectrica;Transelectrica;Romania;Bulgaria;
;;;;715;220kV Stalpu substation upgrade to 400 kV;Stalpu (RO);Stalpu (RO);Substation;AC;400;2020;In Permitting;Transelectrica;Transelectrica;Romania;Bulgaria;
;;;;800;400 kV OHL Varna-Burgas;Varna(BG);Burgas(BG);Overhead Line;AC;400;31/ 03/ 2021;In Permitting;ESO-EAD;ESO-EAD;Romania;Bulgaria;
142;ESO,IPTO-SA;CSE4;The project concerns the construction of a new AC 400kV interconnection between Bulgaria and Greece and new AC 400kV overhead lines  at the south part of Bulgaria. This project will increase cross border transfer capacity between Bulgaria and Greece;256;256;Maritsa East 1 (BG);N.Santa (GR);Overhead Line;AC;400;30/01/ 2023;In Permitting;ESO-EAD;IPTO-SA;Bulgaria;Greece;
;;;;257;257;Maritsa East 1 (BG);Plovdiv (BG);Overhead Line;AC;400;30/ 12/ 2020;In Permitting;ESO-EAD;ESO-EAD;Bulgaria;Greece;
;;;;258;258;Maritsa East 1 (BG);Maritsa East 3 (BG);Overhead Line;AC;400;30/ 06/ 2019;In Permitting;ESO-EAD;ESO-EAD;Bulgaria;Greece;
;;;;262;262;Maritsa East 1 (BG);Burgas (BG);Overhead Line;AC;400;01/ 06/ 2021;In Permitting;ESO-EAD;ESO-EAD;Bulgaria;Greece;
